id,signature,cost,arch,isa,datatype,version
193,8_1_0_0_0_0_1_1,5.0,cascadelake,avx2,float,0
194,8_1_0_0_0_1_0_0,7.0,cascadelake,avx2,float,0
195,8_1_0_0_0_1_0_1,6.0,cascadelake,avx2,float,0
196,8_1_0_0_0_1_1_0,4.0,cascadelake,avx2,float,0
197,8_1_0_0_0_1_1_1,4.0,cascadelake,avx2,float,0
198,8_1_0_0_1_0_0_0,7.0,cascadelake,avx2,float,0
199,8_1_0_0_1_0_0_1,6.0,cascadelake,avx2,float,0
200,8_1_0_0_1_0_1_0,7.0,cascadelake,avx2,float,0
201,8_1_0_0_1_0_1_1,5.0,cascadelake,avx2,float,0
202,8_1_0_0_1_1_0_0,7.0,cascadelake,avx2,float,0
203,8_1_0_0_1_1_0_1,6.0,cascadelake,avx2,float,0
204,8_1_0_0_1_1_1_0,4.0,cascadelake,avx2,float,0
205,8_1_0_0_1_1_1_1,4.0,cascadelake,avx2,float,0
206,8_1_0_1_0_0_0_0,6.0,cascadelake,avx2,float,0
207,8_1_0_1_0_0_0_1,5.0,cascadelake,avx2,float,0
208,8_1_0_1_0_0_1_0,6.0,cascadelake,avx2,float,0
209,8_1_0_1_0_0_1_1,4.0,cascadelake,avx2,float,0
210,8_1_0_1_0_1_0_0,6.0,cascadelake,avx2,float,0
211,8_1_0_1_0_1_0_1,5.0,cascadelake,avx2,float,0
212,8_1_0_1_0_1_1_0,3.0,cascadelake,avx2,float,0
213,8_1_0_1_0_1_1_1,3.0,cascadelake,avx2,float,0
214,8_1_0_1_1_0_0_0,6.0,cascadelake,avx2,float,0
215,8_1_0_1_1_0_0_1,5.0,cascadelake,avx2,float,0
216,8_1_0_1_1_0_1_0,6.0,cascadelake,avx2,float,0
217,8_1_0_1_1_0_1_1,4.0,cascadelake,avx2,float,0
218,8_1_0_1_1_1_0_0,6.0,cascadelake,avx2,float,0
219,8_1_0_1_1_1_0_1,5.0,cascadelake,avx2,float,0
220,8_1_0_1_1_1_1_0,3.0,cascadelake,avx2,float,0
221,8_1_0_1_1_1_1_1,3.0,cascadelake,avx2,float,0
222,8_1_1_0_0_0_0_0,4.0,cascadelake,avx2,float,0
223,8_1_1_0_0_0_0_1,3.0,cascadelake,avx2,float,0
224,8_1_1_0_0_0_1_0,4.0,cascadelake,avx2,float,0
225,8_1_1_0_0_0_1_1,2.0,cascadelake,avx2,float,0
226,8_1_1_0_0_1_0_0,4.0,cascadelake,avx2,float,0
227,8_1_1_0_0_1_0_1,3.0,cascadelake,avx2,float,0
228,8_1_1_0_0_1_1_0,2.0,cascadelake,avx2,float,0
229,8_1_1_0_0_1_1_1,1.5,cascadelake,avx2,float,0
230,8_1_1_0_1_0_0_0,4.0,cascadelake,avx2,float,0
231,8_1_1_0_1_0_0_1,3.0,cascadelake,avx2,float,0
232,8_1_1_0_1_0_1_0,4.0,cascadelake,avx2,float,0
233,8_1_1_0_1_0_1_1,2.0,cascadelake,avx2,float,0
234,8_1_1_0_1_1_0_0,4.0,cascadelake,avx2,float,0
235,8_1_1_0_1_1_0_1,3.0,cascadelake,avx2,float,0
236,8_1_1_0_1_1_1_0,2.0,cascadelake,avx2,float,0
237,8_1_1_0_1_1_1_1,1.5,cascadelake,avx2,float,0
238,8_1_1_1_0_0_0_0,3.0,cascadelake,avx2,float,0
239,8_1_1_1_0_0_0_1,2.0,cascadelake,avx2,float,0
240,8_1_1_1_0_0_1_0,3.0,cascadelake,avx2,float,0
241,8_1_1_1_0_0_1_1,1.5,cascadelake,avx2,float,0
242,8_1_1_1_0_1_0_0,3.0,cascadelake,avx2,float,0
243,8_1_1_1_0_1_0_1,2.0,cascadelake,avx2,float,0
244,8_1_1_1_0_1_1_0,1.5,cascadelake,avx2,float,0
245,8_1_1_1_0_1_1_1,1.0,cascadelake,avx2,float,0
246,8_1_1_1_1_0_0_0,3.0,cascadelake,avx2,float,0
247,8_1_1_1_1_0_0_1,2.0,cascadelake,avx2,float,0
248,8_1_1_1_1_0_1_0,3.0,cascadelake,avx2,float,0
249,8_1_1_1_1_0_1_1,1.5,cascadelake,avx2,float,0
250,8_1_1_1_1_1_0_0,3.0,cascadelake,avx2,float,0
251,8_1_1_1_1_1_0_1,2.0,cascadelake,avx2,float,0
252,8_1_1_1_1_1_1_0,1.5,cascadelake,avx2,float,0
253,8_1_1_1_1_1_1_1,1.0,cascadelake,avx2,float,0
